Jun,23,0,0,0,289,172
Jun,24,71,0,0,283,178
Jun,25,0,0,0,339,228
Jun,26,3,0,0,306,206
Jun,27,30,0,0,317,222
Jun,28,0,0,0,272,217
Jun,29,0,0,0,244,194
Jun,30,0,0,0,283,167
Jul,01,0,0,0,300,183
Jul,02,175,0,0,317,200
Jul,03,76,0,0,272,189
Jul,04,0,0,0,261,178
Jul,05,0,0,0,278,167
Jul,06,0,0,0,322,189
Jul,07,0,0,0,344,261
Jul,08,84,0,0,339,222
Jul,09,71,0,0,306,222
Jul,10,0,0,0,317,200
Jul,11,5,0,0,339,244
Jul,12,3,0,0,328,200
Jul,13,0,0,0,306,172
Jul,14,0,0,0,322,189
Jul,15,0,0,0,328,211
Jul,16,0,0,0,339,228
Jul,17,0,0,0,339,222
Jul,18,0,0,0,344,233
Jul,19,3,0,0,344,244
Jul,20,0,0,0,372,256
Jul,21,107,0,0,367,222
Jul,22,302,0,0,278,206
Jul,23,0,0,0,283,206
Jul,24,36,0,0,222,200
Jul,25,193,0,0,289,200
Jul,26,0,0,0,322,222
Jul,27,340,0,0,328,206
Jul,28,48,0,0,306,211
Jul,29,0,0,0,356,239
Jul,30,462,0,0,256,222
Jul,31,0,0,0,300,217
Aug,01,0,0,0,344,228
Aug,02,0,0,0,311,239
Aug,03,84,0,0,311,206
Aug,04,0,0,0,367,244
Aug,05,0,0,0,356,244
Aug,06,46,0,0,317,222
Aug,07,41,0,0,294,206
Aug,08,0,0,0,283,189
Aug,09,0,0,0,283,178
Aug,10,0,0,0,283,194
Aug,11,0,0,0,261,156
Aug,12,0,0,0,283,183
Aug,13,0,0,0,283,194
Aug,14,0,0,0,283,194
Aug,15,0,0,0,289,183
Aug,16,0,0,0,278,167
Aug,17,0,0,0,283,167
Aug,18,0,0,0,289,167
Aug,19,0,0,0,289,167
Aug,20,15,0,0,294,200
Aug,21,183,0,0,278,211
Aug,22,0,0,0,306,222
Aug,23,0,0,0,339,228
Aug,24,0,0,0,283,200
Aug,25,0,0,0,267,167
Aug,26,0,0,0,283,194
Aug,27,0,0,0,300,183
Aug,28,36,0,0,322,211
Aug,29,0,0,0,294,206
Aug,30,0,0,0,300,183
